,Small Component,Big Component,Small2 Component,Big2 Component,Score
308,consensus independent component 85_s2,consensus independent component 95_big,consensus independent component 121_s1,consensus independent component 95_big,-0.4014014777698768
258,consensus independent component 62_s2,consensus independent component 32_big,consensus independent component 23_s1,consensus independent component 32_big,-0.40363647576690154
154,consensus independent component 192_s2,consensus independent component 82_big,consensus independent component 94_s1,consensus independent component 82_big,-0.40531504223958964
254,consensus independent component 60_s2,consensus independent component 56_big,consensus independent component 32_s1,consensus independent component 56_big,-0.40603544551532833
234,consensus independent component 51_s2,consensus independent component 41_big,consensus independent component 103_s1,consensus independent component 41_big,-0.4086600351780332
304,consensus independent component 83_s2,consensus independent component 57_big,consensus independent component 42_s1,consensus independent component 60_big,-0.4153875428555861
143,consensus independent component 183_s2,consensus independent component 55_big,consensus independent component 7_s1,consensus independent component 55_big,-0.4159873365271647
337,consensus independent component 99_s1,consensus independent component 149_big,consensus independent component 143_s2,consensus independent component 149_big,-0.42081690677373107
268,consensus independent component 67_s2,consensus independent component 101_big,consensus independent component 39_s1,consensus independent component 147_big,-0.4235378311741726
180,consensus independent component 27_s2,consensus independent component 7_big,consensus independent component 36_s1,consensus independent component 7_big,-0.4264476353454707
200,consensus independent component 36_s2,consensus independent component 130_big,consensus independent component 2_s1,consensus independent component 130_big,-0.4302812076610208
198,consensus independent component 35_s2,consensus independent component 131_big,consensus independent component 112_s1,consensus independent component 131_big,-0.4320082175413204
50,consensus independent component 123_s1,consensus independent component 84_big,consensus independent component 119_s2,consensus independent component 84_big,-0.43713403463213535
169,consensus independent component 22_s1,consensus independent component 5_big,consensus independent component 17_s2,consensus independent component 5_big,-0.4411706490439493
161,consensus independent component 19_s1,consensus independent component 78_big,consensus independent component 143_s2,consensus independent component 149_big,-0.44573162577288444
232,consensus independent component 50_s2,consensus independent component 27_big,consensus independent component 136_s1,consensus independent component 27_big,-0.44805554458745456
11,consensus independent component 105_s2,consensus independent component 98_big,consensus independent component 45_s1,consensus independent component 98_big,-0.4494431210790238
333,consensus independent component 97_s1,consensus independent component 141_big,consensus independent component 38_s2,consensus independent component 106_big,-0.4514177995664741
14,consensus independent component 107_s1,consensus independent component 18_big,consensus independent component 32_s2,consensus independent component 18_big,-0.4514498040045114
34,consensus independent component 116_s1,consensus independent component 113_big,consensus independent component 155_s2,consensus independent component 82_big,-0.45278501036505514
136,consensus independent component 178_s2,consensus independent component 138_big,consensus independent component 16_s1,consensus independent component 1_big,-0.45462083203717885
211,consensus independent component 41_s1,consensus independent component 152_big,consensus independent component 177_s2,consensus independent component 152_big,-0.45489291736524196
319,consensus independent component 90_s1,consensus independent component 108_big,consensus independent component 37_s2,consensus independent component 108_big,-0.45501153635694197
90,consensus independent component 141_s1,consensus independent component 12_big,consensus independent component 65_s2,consensus independent component 12_big,-0.45524279182607336
187,consensus independent component 30_s1,consensus independent component 88_big,consensus independent component 47_s2,consensus independent component 88_big,-0.45907553148356595
340,consensus independent component 9_s2,consensus independent component 65_big,consensus independent component 32_s1,consensus independent component 56_big,-0.4636388893297344
257,consensus independent component 62_s1,consensus independent component 99_big,consensus independent component 114_s2,consensus independent component 99_big,-0.46466907798894275
197,consensus independent component 35_s1,consensus independent component 16_big,consensus independent component 42_s2,consensus independent component 16_big,-0.4648043130492186
9,consensus independent component 104_s2,consensus independent component 120_big,consensus independent component 5_s1,consensus independent component 142_big,-0.4656670595755132
92,consensus independent component 142_s1,consensus independent component 112_big,consensus independent component 121_s2,consensus independent component 112_big,-0.4668184530224067
255,consensus independent component 61_s1,consensus independent component 71_big,consensus independent component 63_s2,consensus independent component 71_big,-0.4674982563222376
84,consensus independent component 139_s1,consensus independent component 53_big,consensus independent component 132_s2,consensus independent component 53_big,-0.4690449264851194
19,consensus independent component 109_s2,consensus independent component 73_big,consensus independent component 46_s1,consensus independent component 70_big,-0.4693924074581971
321,consensus independent component 91_s1,consensus independent component 49_big,consensus independent component 61_s2,consensus independent component 49_big,-0.4699053202113483
266,consensus independent component 66_s2,consensus independent component 109_big,consensus independent component 110_s1,consensus independent component 109_big,-0.47050566144682343
328,consensus independent component 94_s2,consensus independent component 96_big,consensus independent component 13_s1,consensus independent component 97_big,-0.4716088453748577
69,consensus independent component 131_s2,consensus independent component 54_big,consensus independent component 10_s1,consensus independent component 54_big,-0.4753090584391721
202,consensus independent component 37_s2,consensus independent component 108_big,consensus independent component 50_s1,consensus independent component 159_big,-0.480223446810007
15,consensus independent component 107_s2,consensus independent component 142_big,consensus independent component 5_s1,consensus independent component 142_big,-0.48515799259837117
338,consensus independent component 99_s2,consensus independent component 97_big,consensus independent component 13_s1,consensus independent component 97_big,-0.48681983428341064
2,consensus independent component 101_s1,consensus independent component 125_big,consensus independent component 74_s2,consensus independent component 170_big,-0.4897478460654838
125,consensus independent component 169_s2,consensus independent component 108_big,consensus independent component 81_s1,consensus independent component 108_big,-0.49237637217004493
63,consensus independent component 129_s2,consensus independent component 64_big,consensus independent component 28_s1,consensus independent component 48_big,-0.4966185029222367
10,consensus independent component 105_s1,consensus independent component 43_big,consensus independent component 101_s2,consensus independent component 43_big,-0.4980250375909033
218,consensus independent component 44_s2,consensus independent component 58_big,consensus independent component 26_s1,consensus independent component 58_big,-0.5031983504286854
107,consensus independent component 153_s2,consensus independent component 151_big,consensus independent component 136_s1,consensus independent component 27_big,-0.5037386320698386
29,consensus independent component 113_s2,consensus independent component 93_big,consensus independent component 62_s1,consensus independent component 99_big,-0.5051554638840273
271,consensus independent component 69_s1,consensus independent component 127_big,consensus independent component 102_s2,consensus independent component 127_big,-0.5070434132385337
56,consensus independent component 126_s1,consensus independent component 78_big,consensus independent component 97_s2,consensus independent component 78_big,-0.508453754417149
85,consensus independent component 139_s2,consensus independent component 45_big,consensus independent component 57_s1,consensus independent component 45_big,-0.5141056689320392
188,consensus independent component 30_s2,consensus independent component 40_big,consensus independent component 80_s1,consensus independent component 40_big,-0.5143677528187569
306,consensus independent component 84_s2,consensus independent component 11_big,consensus independent component 17_s1,consensus independent component 11_big,-0.5202093699376966
147,consensus independent component 187_s2,consensus independent component 47_big,consensus independent component 7_s1,consensus independent component 55_big,-0.5245680159088831
208,consensus independent component 3_s2,consensus independent component 63_big,consensus independent component 9_s1,consensus independent component 20_big,-0.5272916521949086
0,consensus independent component 100_s1,consensus independent component 78_big,consensus independent component 24_s2,consensus independent component 8_big,-0.5281245162248093
151,consensus independent component 18_s2,consensus independent component 62_big,consensus independent component 2_s1,consensus independent component 130_big,-0.5299101445621428
299,consensus independent component 81_s1,consensus independent component 108_big,consensus independent component 95_s2,consensus independent component 160_big,-0.5310636694956123
277,consensus independent component 71_s1,consensus independent component 28_big,consensus independent component 45_s2,consensus independent component 28_big,-0.5320783504883925
59,consensus independent component 127_s2,consensus independent component 107_big,consensus independent component 47_s1,consensus independent component 100_big,-0.5332176732252205
62,consensus independent component 129_s1,consensus independent component 84_big,consensus independent component 119_s2,consensus independent component 84_big,-0.5373794462724688
296,consensus independent component 7_s2,consensus independent component 46_big,consensus independent component 39_s1,consensus independent component 147_big,-0.538606867561829
290,consensus independent component 77_s2,consensus independent component 154_big,consensus independent component 10_s1,consensus independent component 54_big,-0.542297065180534
325,consensus independent component 93_s1,consensus independent component 139_big,consensus independent component 161_s2,consensus independent component 139_big,-0.5498132008071812
318,consensus independent component 8_s2,consensus independent component 77_big,consensus independent component 68_s1,consensus independent component 77_big,-0.5507943612056896
300,consensus independent component 81_s2,consensus independent component 122_big,consensus independent component 109_s1,consensus independent component 122_big,-0.5512815162686784
122,consensus independent component 166_s2,consensus independent component 135_big,consensus independent component 22_s1,consensus independent component 5_big,-0.5548632200466734
25,consensus independent component 111_s2,consensus independent component 83_big,consensus independent component 53_s1,consensus independent component 83_big,-0.5571713018188759
280,consensus independent component 72_s2,consensus independent component 114_big,consensus independent component 110_s1,consensus independent component 109_big,-0.5583020218441798
336,consensus independent component 98_s2,consensus independent component 125_big,consensus independent component 101_s1,consensus independent component 125_big,-0.5586393734258543
87,consensus independent component 13_s2,consensus independent component 35_big,consensus independent component 68_s1,consensus independent component 77_big,-0.5639960601121449
212,consensus independent component 41_s2,consensus independent component 52_big,consensus independent component 26_s1,consensus independent component 58_big,-0.5662266651961064
244,consensus independent component 56_s2,consensus independent component 17_big,consensus independent component 139_s1,consensus independent component 53_big,-0.5690833124873345
