,Small Component,Big Component,Small2 Component,Big2 Component,Score
2637,consensus independent component 57_Colorectal cancer,consensus independent component 451_big,consensus independent component 212_Breast cancer,consensus independent component 451_big,-0.03943565162946927
465,consensus independent component 12_Prostate cancer,consensus independent component 361_big,consensus independent component 23_Lung cancer,consensus independent component 361_big,-0.03944757246810107
1025,consensus independent component 174_Lung cancer,consensus independent component 807_big,consensus independent component 24_Normal,consensus independent component 807_big,-0.039457683008059075
1120,consensus independent component 184_Colorectal cancer,consensus independent component 449_big,consensus independent component 108_Lung cancer,consensus independent component 449_big,-0.03949405801041411
562,consensus independent component 137_Gastric cancer,consensus independent component 3336_big,consensus independent component 17_Normal,consensus independent component 160_big,-0.0395183438546505
868,consensus independent component 15_Colorectal cancer,consensus independent component 124_big,consensus independent component 106_Breast cancer,consensus independent component 124_big,-0.039582746224194554
307,consensus independent component 11_HCC,consensus independent component 2960_big,consensus independent component 26_Myelodysplastic syndrome,consensus independent component 855_big,-0.03962406917484852
3351,consensus independent component 91_Renal cancer,consensus independent component 464_big,consensus independent component 47_Brain cancer,consensus independent component 3587_big,-0.039650943275055445
223,consensus independent component 113_Sarcoma,consensus independent component 2182_big,consensus independent component 285_Breast cancer,consensus independent component 1270_big,-0.03972904095627744
410,consensus independent component 126_Sarcoma,consensus independent component 605_big,consensus independent component 8_Breast cancer,consensus independent component 605_big,-0.03977202006118967
787,consensus independent component 152_Ovarian cancer,consensus independent component 221_big,consensus independent component 156_Breast cancer,consensus independent component 221_big,-0.0398855505382979
3008,consensus independent component 74_HNSCC,consensus independent component 3651_big,consensus independent component 32_Normal,consensus independent component 333_big,-0.039908211772059776
3124,consensus independent component 7_Ovarian cancer,consensus independent component 18_big,consensus independent component 270_Breast cancer,consensus independent component 3081_big,-0.03991990369383078
237,consensus independent component 115_Brain cancer,consensus independent component 810_big,consensus independent component 52_Normal,consensus independent component 810_big,-0.040055141339263356
3144,consensus independent component 80_Renal cancer,consensus independent component 3405_big,consensus independent component 15_Colorectal cancer,consensus independent component 124_big,-0.04027842767507424
113,consensus independent component 107_HCC,consensus independent component 76_big,consensus independent component 272_Breast cancer,consensus independent component 76_big,-0.04036716425662756
801,consensus independent component 154_Brain cancer,consensus independent component 855_big,consensus independent component 30_Lymphoma,consensus independent component 855_big,-0.04071475728121321
2610,consensus independent component 56_Gastric cancer,consensus independent component 2835_big,consensus independent component 136_Colorectal cancer,consensus independent component 1176_big,-0.04137865270337926
777,consensus independent component 152_Brain cancer,consensus independent component 133_big,consensus independent component 144_Lung cancer,consensus independent component 133_big,-0.04156420485882162
77,consensus independent component 104_Sarcoma,consensus independent component 431_big,consensus independent component 186_Colorectal cancer,consensus independent component 431_big,-0.04156739076709595
62,consensus independent component 103_Sarcoma,consensus independent component 30_big,consensus independent component 114_Brain cancer,consensus independent component 6_big,-0.04163462662823769
1489,consensus independent component 249_Sarcoma,consensus independent component 1000_big,consensus independent component 10_Renal cancer,consensus independent component 326_big,-0.041671302078803346
734,consensus independent component 149_Sarcoma,consensus independent component 112_big,consensus independent component 55_Lung cancer,consensus independent component 112_big,-0.04182591921462658
3427,consensus independent component 96_Melanoma,consensus independent component 842_big,consensus independent component 46_Breast cancer,consensus independent component 842_big,-0.041854840697714196
3026,consensus independent component 75_HNSCC,consensus independent component 1179_big,consensus independent component 109_Lung cancer,consensus independent component 1179_big,-0.04201079857218176
679,consensus independent component 145_HCC,consensus independent component 3478_big,consensus independent component 116_Renal cancer,consensus independent component 947_big,-0.04205405524836353
623,consensus independent component 140_Melanoma,consensus independent component 231_big,consensus independent component 338_Breast cancer,consensus independent component 3205_big,-0.04206066966364948
1041,consensus independent component 176_Lung cancer,consensus independent component 1394_big,consensus independent component 124_Colorectal cancer,consensus independent component 1394_big,-0.04227420180116809
929,consensus independent component 165_Colorectal cancer,consensus independent component 1172_big,consensus independent component 21_Lung cancer,consensus independent component 1172_big,-0.042332497834178084
3199,consensus independent component 83_Sarcoma,consensus independent component 578_big,consensus independent component 81_Breast cancer,consensus independent component 147_big,-0.04247151151896156
498,consensus independent component 132_HCC,consensus independent component 2903_big,consensus independent component 128_Lymphoma,consensus independent component 170_big,-0.04250913811617027
1861,consensus independent component 31_Sarcoma,consensus independent component 3412_big,consensus independent component 87_Breast cancer,consensus independent component 2766_big,-0.04254161848910857
2322,consensus independent component 46_Ovarian cancer,consensus independent component 1480_big,consensus independent component 30_Colorectal cancer,consensus independent component 257_big,-0.042681117532919366
226,consensus independent component 114_Colorectal cancer,consensus independent component 3628_big,consensus independent component 132_Lung cancer,consensus independent component 27_big,-0.04281233992242006
2409,consensus independent component 49_Sarcoma,consensus independent component 1148_big,consensus independent component 30_Breast cancer,consensus independent component 1148_big,-0.04287997212506525
921,consensus independent component 164_Gastric cancer,consensus independent component 1976_big,consensus independent component 42_Renal cancer,consensus independent component 3544_big,-0.042901536949036964
2154,consensus independent component 40_Ovarian cancer,consensus independent component 3195_big,consensus independent component 84_Lung cancer,consensus independent component 810_big,-0.04297028185574972
