gene_set_name	in_manual_selection	in_immune_terms	is_immune_process
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_TAP_INDEPENDENT	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	TRUE	TRUE	TRUE
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	TRUE	TRUE	TRUE
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	FALSE	TRUE	TRUE
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	TRUE	TRUE	TRUE
GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION	FALSE	TRUE	TRUE
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	FALSE	TRUE	TRUE
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	FALSE	FALSE	FALSE
GOBP_AORTA_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_AORTA_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_AORTIC_VALVE_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_APICAL_JUNCTION_ASSEMBLY	FALSE	FALSE	FALSE
GOBP_APICAL_PROTEIN_LOCALIZATION	FALSE	FALSE	FALSE
GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY	FALSE	TRUE	TRUE
GOBP_APOPTOTIC_CELL_CLEARANCE	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_DNA_FRAGMENTATION	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_APOPTOTIC_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_APPENDAGE_DEVELOPMENT	FALSE	FALSE	FALSE
